Genre,Mood,Popularity_Score,Release_Date,Customer_Rating,Play_Count,Economic_Indicator,Age,Gender,Ad_Listener,Premium_Subscription,Revenue,Listening_History,Search_History,Playlist_Additions,Liked_Tracks,Skipped_Tracks,Location,Event_Influence,Friends_Popular_Tracks,Viral_Status,ReleaseYear,Age_Group
Classical,Melancholic,20,2010-01-01,1,661,-1.690698352,59,Female,Yes,Yes,11.36831599,Taylor Swift - Love Story,Lofi tracks,Taylor Swift - Shake it Off,Coldplay - Yellow,Drake - Hotline Bling,Paris,Coachella 2022,Imagine Dragons - Believer,No,2010,51-60
Electronic/Dance,Melancholic,95,2010-01-02,3,597,0.80532055,63,Female,Yes,No,3.082146324,Coldplay - Yellow,Beatles,Imagine Dragons - Believer,Queen - Bohemian Rhapsody,Cardi B - WAP,LA,Oscar-winning movie soundtrack,Coldplay - Yellow,No,2010,61-70
Jazz,Energetic,38,2010-01-03,3,558,1.386725576,27,Male,No,No,2.558490817,Coldplay - Yellow,Beatles,Adele - Hello,Billie Eilish - Bad Guy,Imagine Dragons - Thunder,LA,Grammys 2023,Imagine Dragons - Believer,No,2010,19-30
R&B/Soul,Relaxed,63,2010-01-04,4,794,0.673641925,45,Female,No,No,2.781490118,Queen - Bohemian Rhapsody,Rock classics,Queen - Bohemian Rhapsody,Coldplay - Yellow,Drake - Hotline Bling,Tokyo,Coachella 2022,Imagine Dragons - Believer,No,2010,41-50
Blues,Melancholic,18,2010-01-05,1,111,1.016861518,65,Male,Yes,Yes,8.026946215,Coldplay - Yellow,Pop genre,Coldplay - Yellow,Coldplay - Yellow,Justin Bieber - Baby,London,Oscar-winning movie soundtrack,Adele - Hello,No,2010,61-70
Pop,Energetic,66,2010-01-06,2,1076,1.115398271,13,Others,Yes,No,2.937145236,Queen - Bohemian Rhapsody,Pop genre,Taylor Swift - Shake it Off,Ed Sheeran - Shape of You,Drake - Hotline Bling,Tokyo,Billboard Top 50,Queen - Bohemian Rhapsody,No,2010,0-18
Country,Energetic,74,2010-01-07,1,365,-0.483005685,22,Male,Yes,No,0.516253962,Queen - Bohemian Rhapsody,Rock classics,Queen - Bohemian Rhapsody,Taylor Swift - Blank Space,Imagine Dragons - Thunder,Paris,Local Concert,Billie Eilish - Bad Guy,No,2010,19-30
R&B/Soul,Energetic,50,2010-01-08,2,1267,-0.582276776,28,Non-Binary,No,No,0.766049353,Adele - Hello,Queen,Coldplay - Yellow,Ed Sheeran - Shape of You,Drake - Hotline Bling,Paris,Coachella 2022,Adele - Hello,No,2010,19-30
Country,Energetic,87,2010-01-09,4,1493,-0.031512882,57,Female,No,Yes,6.363306113,Taylor Swift - Love Story,Pop genre,Queen - Bohemian Rhapsody,Ed Sheeran - Shape of You,Drake - Hotline Bling,NY,Grammys 2023,Adele - Hello,No,2010,51-60
Jazz,Energetic,84,2010-01-10,4,158,-1.770641705,17,Others,Yes,No,0.884081414,Imagine Dragons - Believer,Queen,Coldplay - Yellow,Ed Sheeran - Shape of You,Imagine Dragons - Thunder,Paris,Coachella 2022,Coldplay - Yellow,No,2010,0-18
